created_at|text|text_truncated|source|retweet_count|favorite_count|link
Sat Apr 08 19:58:32 +0000 2017|Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|18532|101379|https://twitter.com/realdonaldtrump/status/850800045012201473
Sat Apr 08 19:00:08 +0000 2017|The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|11764|61608|https://twitter.com/realdonaldtrump/status/850785347038576640
Sat Apr 08 14:54:24 +0000 2017|Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|27355|135211|https://twitter.com/realdonaldtrump/status/850723509370327040
Sat Apr 08 14:51:10 +0000 2017|...goodwill and friendship was formed, but only time will tell on trade.|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|7228|48690|https://twitter.com/realdonaldtrump/status/850722694958075905
Sat Apr 08 14:50:59 +0000 2017|It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous...|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|10519|67115|https://twitter.com/realdonaldtrump/status/850722648883638272
Fri Apr 07 23:22:53 +0000 2017|RT @IvankaTrump: Very proud of Arabella and Joseph for their performance in honor of President Xi Jinping and Madame Peng Liyuan's official…|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|15191|0|https://twitter.com/realdonaldtrump/status/850489084221018113
Thu Apr 06 18:30:49 +0000 2017|It was an honor to host our American heroes from the @WWP #SoldierRideDC at the @WhiteHouse today with @FLOTUS, @VP… https://t.co/u5AI1pupVV|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|10765|60550|https://twitter.com/realdonaldtrump/status/850053194923298816
Thu Apr 06 02:12:43 +0000 2017|"JOBS, JOBS, JOBS!
https://t.co/XGOQPHywrt https://t.co/B5Qbn6llzE"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|22998|83513|https://twitter.com/realdonaldtrump/status/849807049118625792
Wed Apr 05 21:18:08 +0000 2017|I am deeply committed to preserving our strong relationship &amp; to strengthening America's long-standing support for… https://t.co/GxrOR3ALCE|True|"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>"|13154|67299|https://twitter.com/realdonaldtrump/status/849732911377117185
Tue Apr 04 21:03:51 +0000 2017|Great to talk jobs with #NABTU2017. Tremendous spirit &amp; optimism - we will deliver! https://t.co/6lRuQZZHrc|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|9148|49299|https://twitter.com/realdonaldtrump/status/849366930133839872
Tue Apr 04 19:38:59 +0000 2017|Thank you Sean McGarvey &amp; the entire Governing Board of Presidents for honoring me w/an invite to speak. #NABTU2017… https://t.co/dJlZvlq6Tj|True|"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>"|9445|48775|https://twitter.com/realdonaldtrump/status/849345573509574665
Tue Apr 04 18:38:13 +0000 2017|".@WhiteHouse #CEOTownHall
➡️https://t.co/ADSKuUXf1b https://t.co/XHfQ6zmF2H"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|8406|38088|https://twitter.com/realdonaldtrump/status/849330281412792320
Tue Apr 04 12:39:16 +0000 2017|RT @DRUDGE_REPORT: RICE ORDERED SPY DOCS ON TRUMP? https://t.co/bL2nZRFxk9|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|11463|0|https://twitter.com/realdonaldtrump/status/849239946653290496
Mon Apr 03 19:39:05 +0000 2017|It was an honor to welcome President Al Sisi of Egypt to the @WhiteHouse as we renew the historic partnership betwe… https://t.co/9mRaGvcPHz|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|13262|58180|https://twitter.com/realdonaldtrump/status/848983209580822529
Mon Apr 03 17:56:55 +0000 2017|Looking forward to hosting our heroes from the Wounded Warrior Project (@WWP) Soldier Ride to the @WhiteHouse on Th… https://t.co/QLC0qFD94x|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|11037|56166|https://twitter.com/realdonaldtrump/status/848957498040217603
Mon Apr 03 16:00:33 +0000 2017|Getting ready to meet President al-Sisi of Egypt. On behalf of the United States, I look forward to a long and wonderful relationship.|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|12836|75992|https://twitter.com/realdonaldtrump/status/848928217138384896
Mon Apr 03 12:51:01 +0000 2017|".@FoxNews from multiple sources: ""There was electronic surveillance of Trump, and people close to Trump. This is unprecedented."" @FBI"|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|22042|69556|https://twitter.com/realdonaldtrump/status/848880519458717698
Mon Apr 03 11:21:11 +0000 2017|Did Hillary Clinton ever apologize for receiving the answers to the debate? Just asking!|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|27529|108366|https://twitter.com/realdonaldtrump/status/848857910297980928
Mon Apr 03 11:16:52 +0000 2017|Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|20526|71556|https://twitter.com/realdonaldtrump/status/848856822312292354
Mon Apr 03 10:15:17 +0000 2017|"Such amazing reporting on unmasking and the crooked scheme against us by @foxandfriends. ""Spied on before nomination."" The real story."|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|19988|73227|https://twitter.com/realdonaldtrump/status/848841326183534594
Mon Apr 03 00:58:29 +0000 2017|"Melania and I are honored to light up the @WhiteHouse this evening, for 
#WorldAutismAwarenessDay. Join us &amp; #LIUB.… https://t.co/tR3hqqyWvv"|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|25155|113066|https://twitter.com/realdonaldtrump/status/848701201315188736
Sun Apr 02 13:34:16 +0000 2017|The real story turns out to be SURVEILLANCE and LEAKING! Find the leakers.|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|21327|82721|https://twitter.com/realdonaldtrump/status/848529014667055105
Sun Apr 02 13:03:43 +0000 2017|Talks on Repealing and Replacing ObamaCare are, and have been, going on, and will continue until such time as a deal is hopefully struck.|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|13673|73288|https://twitter.com/realdonaldtrump/status/848521325480202240
Sun Apr 02 12:56:49 +0000 2017|Anybody (especially  Fake News media) who thinks that Repeal &amp; Replace of ObamaCare is dead does not know the love and strength in R Party!|False|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|16343|80040|https://twitter.com/realdonaldtrump/status/848519587675201538
